question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"ભગવાન ગણેશનું વાહન કયું છે?",મોર,ઉંદર,સિંહ,નંદી,B,ધાર્મિકતા,easy,"ગણેશજીનું વાહન મૂષક એટલે કે ઉંદર છે."
"ગણેશ ચતુર્થી કયા ગુજરાતી મહિનામાં ઉજવવામાં આવે છે?",શ્રાવણ,ભાદરવો,આસો,કારતક,B,ધાર્મિકતા,easy,"ભાદરવા સુદ ચોથના દિવસે ગણેશ ચતુર્થી ઉજવાય છે."
"ગણેશજીના પિતાનું નામ શું છે?",વિષ્ણુ,બ્રહ્મા,શિવ,ઇન્દ્ર,C,ધાર્મિકતા,easy,"ગણેશજી ભગવાન શિવ અને માતા પાર્વતીના પુત્ર છે."
"ગણેશજીને સૌથી પ્રિય મીઠાઈ કઈ ગણાય છે?",જલેબી,મોદક,પેંડા,બરફી,B,ધાર્મિકતા,easy,"મોદક ગણેશજીનો પ્રિય પ્રસાદ મનાય છે."
"ગણેશ વિસર્જન કયા દિવસે થાય છે?","અનંત ચતુર્દશી","શરદ પૂર્ણિમા",ધનતેરસ,"વસંત પંચમી",A,ધાર્મિકતા,medium,"દસ દિવસના ઉત્સવ પછી અનંત ચતુર્દશીએ વિસર્જન થાય છે."
"ગણેશજીના મોટા ભાઈનું નામ શું છે?",કાર્તિકેય,નારદ,હનુમાન,ભૈરવ,A,ધાર્મિકતા,medium,"કાર્તિકેય, જેમને મુરુગન કે સ્કંદ પણ કહે છે."
"""વિઘ્નહર્તા"" નામનો અર્થ શું થાય?","ધન આપનાર","વિઘ્નો દૂર કરનાર","યુદ્ધ જીતનાર","વરસાદ લાવનાર",B,ધાર્મિકતા,medium,"ગણેશજી અડચણો દૂર કરે છે તેથી વિઘ્નહર્તા કહેવાય છે."
"મહાભારત લખવાનું કામ કોણે કર્યું હતું?",વાલ્મીકિ,ગણેશજી,નારદ,સૂત,B,ધાર્મિકતા,medium,"વેદ વ્યાસ બોલતા ગયા અને ગણેશજીએ લખ્યું એવી કથા છે."
"રામાયણના રચયિતા કોણ છે?","વેદ વ્યાસ",વાલ્મીકિ,તુલસીદાસ,કાલિદાસ,B,ધાર્મિકતા,easy,"મહર્ષિ વાલ્મીકિએ સંસ્કૃતમાં રામાયણ રચ્યું."
"મહાભારતના રચયિતા કોણ છે?","વેદ વ્યાસ",વાલ્મીકિ,ભાસ,પાણિનિ,A,ધાર્મિકતા,easy,"મહર્ષિ વેદ વ્યાસે મહાભારત રચ્યું."
"ભગવદ્ ગીતા કયા ગ્રંથનો ભાગ છે?",રામાયણ,મહાભારત,ઋગ્વેદ,પુરાણ,B,ધાર્મિકતા,medium,"ગીતા મહાભારતના ભીષ્મ પર્વમાં આવે છે."
"ભગવદ્ ગીતામાં કુલ કેટલા અધ્યાય છે?",12,16,18,24,C,ધાર્મિકતા,hard,"ગીતામાં ૧૮ અધ્યાય અને ૭૦૦ શ્લોક છે."
"ભગવાન કૃષ્ણનું જન્મસ્થળ કયું છે?",મથુરા,ગોકુળ,દ્વારકા,વૃંદાવન,A,ધાર્મિકતા,easy,"કૃષ્ણનો જન્મ મથુરાની કારાવાસમાં થયો હતો."
"દ્વારકા કયા રાજ્યમાં આવેલું છે?",રાજસ્થાન,ગુજરાત,મહારાષ્ટ્ર,"મધ્ય પ્રદેશ",B,ધાર્મિકતા,easy,"દ્વારકા ગુજરાતના દેવભૂમિ દ્વારકા જિલ્લામાં છે."
"સોમનાથ મંદિર કયા ક્રમનું જ્યોતિર્લિંગ ગણાય છે?",પ્રથમ,ચોથું,સાતમું,બારમું,A,ધાર્મિકતા,medium,"સોમનાથ બાર જ્યોતિર્લિંગોમાં પ્રથમ ગણાય છે."
"ભારતમાં કુલ કેટલા જ્યોતિર્લિંગ છે?",8,10,12,14,C,ધાર્મિકતા,medium,"બાર જ્યોતિર્લિંગ દેશભરમાં આવેલાં છે."
"ચાર ધામમાંથી કયું ધામ ગુજરાતમાં છે?",બદ્રીનાથ,દ્વારકા,પુરી,રામેશ્વરમ,B,ધાર્મિકતા,medium,"દ્વારકા ચાર ધામમાંનું એક છે."
"અંબાજી મંદિર કયા જિલ્લામાં આવેલું છે?",બનાસકાંઠા,સાબરકાંઠા,મહેસાણા,પાટણ,A,ધાર્મિકતા,medium,"અંબાજી બનાસકાંઠા જિલ્લામાં અરવલ્લીની ટેકરીઓમાં છે."
"પાવાગઢનું મહાકાળી મંદિર કયા જિલ્લામાં આવેલું છે?",પંચમહાલ,વડોદરા,દાહોદ,છોટાઉદેપુર,A,ધાર્મિકતા,hard,"પાવાગઢ પંચમહાલ જિલ્લામાં ચાંપાનેર પાસે છે."
"ગુજરાતમાં જગન્નાથજીની રથયાત્રા કયા શહેરમાં પ્રખ્યાત છે?",સુરત,રાજકોટ,અમદાવાદ,ભાવનગર,C,ધાર્મિકતા,easy,"અમદાવાદની રથયાત્રા દેશમાં પ્રખ્યાત છે."
"નવરાત્રિ કેટલા દિવસ ચાલે છે?",7,8,9,11,C,ધાર્મિકતા,easy,"નવ રાત્રિ એટલે નવ દિવસનો ઉત્સવ."
"ગરબા મુખ્યત્વે કયા દેવીની આરાધના માટે રમાય છે?",લક્ષ્મી,સરસ્વતી,"અંબા માતા",ગંગા,C,ધાર્મિકતા,easy,"નવરાત્રિમાં અંબા માતાની આરાધના થાય છે."
"દિવાળી કયા ભગવાનના અયોધ્યા પરત ફરવાની ઉજવણી છે?",કૃષ્ણ,રામ,શિવ,વિષ્ણુ,B,ધાર્મિકતા,easy,"ચૌદ વર્ષના વનવાસ પછી રામના પરત ફરવાની ખુશીમાં દીવા પ્રગટાવાય છે."
"હોળીના બીજા દિવસને ગુજરાતમાં શું કહે છે?",ધુળેટી,પડવો,ભાઈબીજ,લાભપાંચમ,A,ધાર્મિકતા,easy,"રંગોથી રમાતો દિવસ ધુળેટી કહેવાય છે."
"જૈન ધર્મના ૨૪મા તીર્થંકર કોણ છે?",ઋષભદેવ,પાર્શ્વનાથ,"મહાવીર સ્વામી",નેમિનાથ,C,ધાર્મિકતા,medium,"ભગવાન મહાવીર છેલ્લા એટલે ૨૪મા તીર્થંકર છે."
"જૈન ધર્મના પ્રથમ તીર્થંકર કોણ છે?",ઋષભદેવ,મહાવીર,પાર્શ્વનાથ,શાંતિનાથ,A,ધાર્મિકતા,hard,"ઋષભદેવ, જેમને આદિનાથ પણ કહે છે."
"પાલિતાણા કયા ધર્મનું મુખ્ય તીર્થસ્થાન છે?",બૌદ્ધ,જૈન,શીખ,પારસી,B,ધાર્મિકતા,medium,"શત્રુંજય પર્વત પર જૈન દેરાસરોનું સમૂહ છે."
"શીખ ધર્મના સ્થાપક કોણ છે?","ગુરુ ગોવિંદ સિંહ","ગુરુ નાનક","ગુરુ અર્જુન","ગુરુ તેગ બહાદુર",B,ધાર્મિકતા,medium,"ગુરુ નાનક દેવજી શીખ ધર્મના પ્રથમ ગુરુ છે."
"બૌદ્ધ ધર્મના સ્થાપક કોણ છે?",મહાવીર,"ગૌતમ બુદ્ધ",ચાણક્ય,અશોક,B,ધાર્મિકતા,easy,"સિદ્ધાર્થ ગૌતમ, જેઓ બુદ્ધ તરીકે ઓળખાયા."
"ગૌતમ બુદ્ધને જ્ઞાન કયા સ્થળે પ્રાપ્ત થયું?",સારનાથ,બોધગયા,કુશીનગર,લુમ્બિની,B,ધાર્મિકતા,hard,"બોધગયામાં બોધિવૃક્ષ નીચે જ્ઞાન પ્રાપ્ત થયું."
"ભગવાન શિવનું વાહન કયું છે?",ગરુડ,નંદી,સિંહ,હંસ,B,ધાર્મિકતા,easy,"નંદી એટલે પવિત્ર બળદ શિવજીનું વાહન છે."
"હનુમાનજીને પવનપુત્ર કેમ કહેવામાં આવે છે?","તેઓ ઝડપથી દોડે છે","તેમના પિતા વાયુદેવ છે","તેઓ પર્વત ઉપાડે છે","તેઓ આકાશમાં ઊડે છે",B,ધાર્મિકતા,medium,"વાયુદેવ તેમના પિતા મનાય છે તેથી પવનપુત્ર કહેવાય છે."
"રામચરિતમાનસ કોણે લખ્યું?",વાલ્મીકિ,તુલસીદાસ,સુરદાસ,કબીર,B,ધાર્મિકતા,medium,"ગોસ્વામી તુલસીદાસે અવધી ભાષામાં લખ્યું."
"સ્વામિનારાયણ સંપ્રદાયના સ્થાપક કોણ છે?","સહજાનંદ સ્વામી","દયાનંદ સરસ્વતી","રામકૃષ્ણ પરમહંસ",વિવેકાનંદ,A,ધાર્મિકતા,medium,"ભગવાન સ્વામિનારાયણ એટલે સહજાનંદ સ્વામી."
"ગુજરાતનું અક્ષરધામ મંદિર કયા શહેરમાં આવેલું છે?",અમદાવાદ,ગાંધીનગર,સુરત,વડોદરા,B,ધાર્મિકતા,medium,"અક્ષરધામ ગાંધીનગરમાં આવેલું છે."
"ભારતને આઝાદી કઈ તારીખે મળી?","26 જાન્યુઆરી 1950","15 ઓગસ્ટ 1947","2 ઓક્ટોબર 1947","15 ઓગસ્ટ 1950",B,દેશભક્તિ,easy,"૧૫ ઓગસ્ટ ૧૯૪૭ના રોજ ભારત સ્વતંત્ર થયું."
"ભારતનો પ્રજાસત્તાક દિન કઈ તારીખે ઉજવાય છે?","15 ઓગસ્ટ","26 જાન્યુઆરી","2 ઓક્ટોબર","14 નવેમ્બર",B,દેશભક્તિ,easy,"૨૬ જાન્યુઆરી ૧૯૫૦થી બંધારણ અમલમાં આવ્યું."
"ભારતીય બંધારણના ઘડવૈયા કોણ ગણાય છે?","જવાહરલાલ નહેરુ","સરદાર પટેલ","ડૉ. બી. આર. આંબેડકર","રાજેન્દ્ર પ્રસાદ",C,દેશભક્તિ,easy,"ડૉ. આંબેડકર મુસદ્દા સમિતિના અધ્યક્ષ હતા."
