question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"ગણેશજીની બે પત્નીઓનાં નામ શું છે?","ગંગા અને યમુના","રિદ્ધિ અને સિદ્ધિ","ઉમા અને રમા","શ્રદ્ધા અને ભક્તિ",B,ધાર્મિકતા,medium,"રિદ્ધિ એટલે સમૃદ્ધિ અને સિદ્ધિ એટલે સફળતા."
"ગણેશજીના બે પુત્રોનાં નામ શું મનાય છે?","શુભ અને લાભ","રામ અને શ્યામ","નંદ અને સુનંદ","જય અને વિજય",A,ધાર્મિકતા,hard,"શુભ અને લાભ ગણેશજીના પુત્રો મનાય છે."
"અષ્ટવિનાયકનાં આઠ મંદિરો કયા રાજ્યમાં આવેલાં છે?",ગુજરાત,મહારાષ્ટ્ર,"મધ્ય પ્રદેશ",કર્ણાટક,B,ધાર્મિકતા,medium,"પુણે આસપાસ મહારાષ્ટ્રમાં અષ્ટવિનાયક આવેલા છે."
"ગણેશ પૂજામાં કયું ઘાસ ચઢાવવાનો વિશેષ મહિમા છે?",દૂર્વા,કુશ,તુલસી,બીલી,A,ધાર્મિકતા,medium,"દૂર્વા એટલે ધરો ગણેશજીને પ્રિય છે."
"મહાભારતનું મૂળ નામ શું હતું?",જય,ભારત,વિજય,કથાસરિત,A,ધાર્મિકતા,hard,"વ્યાસજીએ તેને પહેલાં ""જય"" નામ આપ્યું હતું."
"રામાયણમાં કુલ કેટલા કાંડ છે?",5,6,7,9,C,ધાર્મિકતા,medium,"બાલકાંડથી ઉત્તરકાંડ સુધી સાત કાંડ છે."
"ચાર વેદમાં સૌથી પ્રાચીન કયો ગણાય છે?",યજુર્વેદ,ઋગ્વેદ,સામવેદ,અથર્વવેદ,B,ધાર્મિકતા,medium,"ઋગ્વેદ સૌથી પ્રાચીન વેદ ગણાય છે."
"ભગવદ્ ગીતામાં કુલ કેટલા શ્લોક છે?",500,600,700,800,C,ધાર્મિકતા,hard,"અઢાર અધ્યાયમાં કુલ ૭૦૦ શ્લોક છે."
"ભગવાન શિવના ધનુષનું નામ શું છે?",ગાંડીવ,પિનાક,શારંગ,વિજય,B,ધાર્મિકતા,hard,"શિવજીનું ધનુષ પિનાક કહેવાય છે."
"વિષ્ણુના દસ અવતારમાં પ્રથમ અવતાર કયો છે?",કૂર્મ,મત્સ્ય,વરાહ,નૃસિંહ,B,ધાર્મિકતા,medium,"મત્સ્ય એટલે માછલીનો અવતાર પ્રથમ છે."
"શ્રીકૃષ્ણના શંખનું નામ શું છે?",પાંચજન્ય,દેવદત્ત,અનંતવિજય,સુઘોષ,A,ધાર્મિકતા,hard,"કૃષ્ણનો શંખ પાંચજન્ય કહેવાય છે."
"અર્જુનના ધનુષનું નામ શું છે?",પિનાક,ગાંડીવ,કોદંડ,શારંગ,B,ધાર્મિકતા,hard,"અર્જુનનું ધનુષ ગાંડીવ હતું."
"સુદર્શન ચક્ર કયા ભગવાનનું શસ્ત્ર છે?",શિવ,વિષ્ણુ,ઇન્દ્ર,બ્રહ્મા,B,ધાર્મિકતા,easy,"વિષ્ણુ અને તેમના અવતાર કૃષ્ણનું ચક્ર સુદર્શન છે."
"પાંડવોની માતાનું નામ શું હતું?",ગાંધારી,કુંતી,માદ્રી,સત્યવતી,B,ધાર્મિકતા,medium,"યુધિષ્ઠિર, ભીમ અને અર્જુનની માતા કુંતી હતાં."
"કર્ણને કવચ અને કુંડળ કોના તરફથી મળ્યાં હતાં?",ઇન્દ્ર,સૂર્ય,વરુણ,અગ્નિ,B,ધાર્મિકતા,hard,"કર્ણ સૂર્યપુત્ર હતા અને જન્મથી કવચ-કુંડળ ધરાવતા હતા."
"હનુમાનજીની માતાનું નામ શું છે?",અંજની,અહલ્યા,સુમિત્રા,તારા,A,ધાર્મિકતા,medium,"માતા અંજનીના પુત્ર હોવાથી તેઓ આંજનેય કહેવાય છે."
"ભગવાન રામના ગુરુ કોણ હતા?",વિશ્વામિત્ર,વશિષ્ઠ,ભારદ્વાજ,અગસ્ત્ય,B,ધાર્મિકતા,medium,"મહર્ષિ વશિષ્ઠ રઘુકુળના કુળગુરુ હતા."
"સીતાજીના પિતાનું નામ શું હતું?",જનક,દશરથ,રાવણ,સુગ્રીવ,A,ધાર્મિકતા,medium,"મિથિલાના રાજા જનક સીતાજીના પિતા હતા."
"કુંભમેળો કેટલા વર્ષે એક વાર ભરાય છે?",6,10,12,15,C,ધાર્મિકતા,medium,"એક સ્થળે દર બાર વર્ષે પૂર્ણ કુંભ ભરાય છે."
"ગિરનારની ટોચ પર કયા ભગવાનનું મંદિર આવેલું છે?",શિવ,દત્તાત્રેય,હનુમાન,રામ,B,ધાર્મિકતા,hard,"ગિરનારના સૌથી ઊંચા શિખર પર દત્તાત્રેયનું મંદિર છે."
"શ્રીનાથજીનું પ્રસિદ્ધ મંદિર કયા સ્થળે આવેલું છે?",નાથદ્વારા,ઉજ્જૈન,મથુરા,પુષ્કર,A,ધાર્મિકતા,medium,"રાજસ્થાનના નાથદ્વારામાં શ્રીનાથજીનું મંદિર છે."
"તિરુપતિ બાલાજીનું મંદિર કયા રાજ્યમાં આવેલું છે?",તમિલનાડુ,"આંધ્ર પ્રદેશ",કર્ણાટક,કેરળ,B,ધાર્મિકતા,medium,"આંધ્ર પ્રદેશના તિરુમાલામાં આવેલું છે."
"વૈષ્ણોદેવીનું મંદિર કયા રાજ્યમાં આવેલું છે?","હિમાચલ પ્રદેશ","જમ્મુ અને કાશ્મીર",ઉત્તરાખંડ,પંજાબ,B,ધાર્મિકતા,medium,"જમ્મુના કટરા પાસે ત્રિકૂટ પર્વત પર છે."
"કેદારનાથ મંદિર કયા રાજ્યમાં આવેલું છે?",ઉત્તરાખંડ,"હિમાચલ પ્રદેશ","જમ્મુ અને કાશ્મીર",સિક્કિમ,A,ધાર્મિકતા,medium,"ઉત્તરાખંડના રુદ્રપ્રયાગ જિલ્લામાં છે."
"શબરીમાલા મંદિર કયા રાજ્યમાં આવેલું છે?",તમિલનાડુ,કેરળ,કર્ણાટક,"આંધ્ર પ્રદેશ",B,ધાર્મિકતા,hard,"કેરળના પથનમથિટ્ટા જિલ્લામાં આવેલું છે."
"સુવર્ણ મંદિરનું મૂળ નામ શું છે?","અકાલ તખ્ત","હરમંદિર સાહિબ","આનંદપુર સાહિબ","કેસગઢ સાહિબ",B,ધાર્મિકતા,medium,"હરમંદિર સાહિબ એટલે દરબાર સાહિબ."
"જૈન ધર્મના પાંચ મહાવ્રતમાં પ્રથમ કયું છે?",સત્ય,અહિંસા,અસ્તેય,અપરિગ્રહ,B,ધાર્મિકતા,hard,"અહિંસા જૈન ધર્મનું પ્રથમ અને મુખ્ય વ્રત છે."
"બૌદ્ધ ધર્મના મુખ્ય ગ્રંથનું નામ શું છે?",ત્રિપિટક,ધમ્મપદ,જાતક,સુત્ત,A,ધાર્મિકતા,hard,"ત્રિપિટક એટલે ત્રણ પિટક બૌદ્ધ ધર્મનો મુખ્ય ગ્રંથ છે."
"ગુરુ ગ્રંથ સાહિબ કયા ધર્મનો પવિત્ર ગ્રંથ છે?",જૈન,શીખ,બૌદ્ધ,પારસી,B,ધાર્મિકતા,easy,"શીખ ધર્મમાં ગુરુ ગ્રંથ સાહિબને જીવંત ગુરુ માનવામાં આવે છે."
"પારસી ધર્મના સ્થાપક કોણ ગણાય છે?",મહાવીર,જરથુષ્ટ્ર,કન્ફ્યુશિયસ,લાઓત્સે,B,ધાર્મિકતા,hard,"જરથુષ્ટ્ર એટલે જોરોઆસ્ટર પારસી ધર્મના પ્રવર્તક છે."
"વસંત પંચમીએ કયા દેવીની પૂજા થાય છે?",લક્ષ્મી,સરસ્વતી,દુર્ગા,કાલી,B,ધાર્મિકતા,easy,"વિદ્યાની દેવી સરસ્વતીની પૂજા થાય છે."
"ગુરુ પૂર્ણિમા કોની યાદમાં ઉજવાય છે?",વાલ્મીકિ,"વેદ વ્યાસ",તુલસીદાસ,કબીર,B,ધાર્મિકતા,medium,"વેદ વ્યાસના જન્મદિવસે ગુરુ પૂર્ણિમા ઉજવાય છે."
"જન્માષ્ટમી કયા ગુજરાતી મહિનામાં આવે છે?",અષાઢ,શ્રાવણ,ભાદરવો,આસો,B,ધાર્મિકતા,easy,"શ્રાવણ વદ આઠમે કૃષ્ણ જન્મોત્સવ ઉજવાય છે."
"રક્ષાબંધન કયા દિવસે ઉજવાય છે?","શ્રાવણી પૂર્ણિમા","ચૈત્રી પૂનમ","શરદ પૂર્ણિમા","કારતકી પૂનમ",A,ધાર્મિકતા,medium,"શ્રાવણ મહિનાની પૂર્ણિમાએ ઉજવાય છે."
"મહાશિવરાત્રિ કયા ગુજરાતી મહિનામાં આવે છે?",મહા,પોષ,ફાગણ,ચૈત્ર,A,ધાર્મિકતા,hard,"મહા વદ ચૌદશે મહાશિવરાત્રિ ઉજવાય છે."
"ૐ કયા ત્રણ ધ્વનિઓથી બનેલો મનાય છે?","અ, ઉ, મ","અ, ઇ, ઉ","ક, ખ, ગ","સ, ત, ય",A,ધાર્મિકતા,hard,"અકાર, ઉકાર અને મકાર મળીને ૐ બને છે."
"ગોવર્ધન પર્વત કોણે ઉપાડ્યો હતો?",બલરામ,શ્રીકૃષ્ણ,હનુમાન,ભીમ,B,ધાર્મિકતા,medium,"ઇન્દ્રના પ્રકોપથી ગોકુળને બચાવવા કૃષ્ણે ગોવર્ધન ઉપાડ્યો."
"નરસિંહ મહેતા કયા રાજ્યના સંતકવિ હતા?",રાજસ્થાન,ગુજરાત,મહારાષ્ટ્ર,"ઉત્તર પ્રદેશ",B,ધાર્મિકતા,medium,"જૂનાગઢના નરસિંહ મહેતા ગુજરાતના આદિકવિ ગણાય છે."
"""વૈષ્ણવ જન તો"" ભજન કોણે લખ્યું?",મીરાંબાઈ,"નરસિંહ મહેતા",કબીર,સુરદાસ,B,ધાર્મિકતા,hard,"નરસિંહ મહેતાનું આ ભજન ગાંધીજીને પ્રિય હતું."
